,Number,Name,Parent (SMC),Parent name (SMC),Section,Region,Area,Island,Topo Section,County,Classification,Map 1:50k,Map 1:25k,Metres,Feet,Grid ref,Grid ref 10,Drop,Col grid ref,Col height,Feature,Observations,Survey,Climbed,Country,County Top,Revision,Comments,Streetmap,Geograph/MountainViews,Hill-bagging,Xcoord,Ycoord,Latitude,Longitude,GridrefXY,_Section,Parent (Ma),Parent name (Ma),MVNumber,Ma,Ma=,Hu,Hu=,Tu,Tu=,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,1=,0,W,WO,B,Sy,Fel,CoH,CoH=,CoU,CoU=,CoA,CoA=,CoL,CoL=,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,Dil,VL,A,MDew,sMDew,Ca,Bin,O,Un,coords
1826,1827,Cairnpapple Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,"Ma,3,CoH",65,349E,312.0,1024,NS987711,NS 98754 71148,165.0,NT000678,147.0,no feature 5m NE of trig point,trig point is located in a small depression; ground to 10m NE of trig point is c 5cm higher; large mound 140m E at NS 98896 71144 is c 1.5m lower; viewpoint 300m E at NS 99062 71126 is c 2.5m lower,Abney level,,S,West Lothian (CoH),28-Oct-01,,"http://www.streetmap.co.uk/newmap.srf?x=298752&y=671154&z=3&sv=298752,671154&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.922763&lon=-3.621771,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1827,298752,671154,55.922763,-3.621771,NS9875271154,28.1,1827,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (298752.5250434825 671153.1000203363)
1827,1828,Arthur's Seat,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh,"Ma,2",66,350,251.0,823,NT275729,NT 27534 72942,174.0,NT270726,77.0,rock by trig point,,obvious summit,,S,,28-Oct-01,,"http://www.streetmap.co.uk/newmap.srf?x=327533&y=672948&z=3&sv=327533,672948&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.94408&lon=-3.161824,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1828,327533,672948,55.94408000000001,-3.161824,NT2753372948,28.1,1828,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (327533.1363522144 672946.9942828626)
1828,1829,North Berwick Law,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,East Lothian,"Ma,1",66,351E,187.0,614,NT556842,NT 55638 84220,168.0,NT566800,19.0,rock 3m NE of trig point,highest point of rock on which trig point stands,,,S,,28-Oct-01,,"http://www.streetmap.co.uk/newmap.srf?x=355638&y=684226&z=3&sv=355638,684226&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=56.048824&lon=-2.713765,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1829,355638,684226,56.048823999999996,-2.713765,NT5563884226,28.1,1829,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (355637.7861393453 684225.1015032571)
5080,5081,Carnethy Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"Hu,5,DDew",66,344,573.0,1880,NT203619,NT 20384 61915,128.0,NT195615,445.0,cairn,,,,S,,20-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=320383&y=661920&z=3&sv=320383,661920&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.843895&lon=-3.273025,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5081,320383,661920,55.843894999999996,-3.273025,NT2038361920,28.1,1807,Scald Law,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (320382.9488310652 661919.8600984486)
5083,5084,Lammer Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,"Hu,5,DDew",66,345E,529.0,1736,NT523618,NT 52361 61801,117.0,NT536604,412.0,cairn on mound 7m E of trig point,,,,S,,15-Mar-15,,"http://www.streetmap.co.uk/newmap.srf?x=352361&y=661806&z=3&sv=352361,661806&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.847094&lon=-2.762402,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5084,352361,661806,55.84709399999999,-2.7624020000000002,NT5236161806,28.1,1813,Meikle Says Law,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (352360.608313138 661805.7485449101)
5088,5089,Wester Dod [Monynut Edge],,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,"Hu,4",67,345E 351E,416.0,1365,NT704681,NT 70479 68163,112.0,NT665698,304.0,no feature: heather between two small pools,,Abney level,,S,,14-Feb-14,,"http://www.streetmap.co.uk/newmap.srf?x=370479&y=668168&z=3&sv=370479,668168&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.905707&lon=-2.47375,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5089,370479,668168,55.90570699999999,-2.47375,NT7047968168,28.1,1819,Spartleton,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (370479.0357242438 668167.7762359369)
5098,5099,Cocklaw Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,"Hu,3",67,351E,320.0,1050,NT719714,NT 71997 71414,130.0,NT709708,190.0,no feature: grass,ground 170m W at NT 71824 71410 is 50cm lower,Abney level,,S,,08-Jun-09,,"http://www.streetmap.co.uk/newmap.srf?x=371997&y=671419&z=3&sv=371997,671419&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.935007&lon=-2.449809,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5099,371997,671419,55.93500699999999,-2.449809,NT7199771419,28.1,1819,Spartleton,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (371997.0605591284 671418.8081992712)
5104,5105,Traprain Law,,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian,"Hu,2",67,351E,221.0,725,NT581746,NT 58165 74663,134.0,NT564729,87.0,shelter 10m N of trig point,,obvious summit,,S,,08-Jun-09,,"http://www.streetmap.co.uk/newmap.srf?x=358165&y=674669&z=3&sv=358165,674669&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.96319&lon=-2.671708,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5105,358165,674669,55.963190000000004,-2.671708,NT5816574669,28.1,1813,Meikle Says Law,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (358164.8079122911 674667.936705243)
5105,5106,Airngath Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,West Lothian,"Hu,1",65,349E,171.0,561,NT003791,,112.0,NT026774,59.0,,,,,S,,21-Dec-12,large scale maps indicate an alternative summit 110m E at NT005791,"http://www.streetmap.co.uk/newmap.srf?x=300300&y=679100&z=3&sv=300300,679100&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.994455&lon=-3.599957,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5106,300300,679100,55.994455,-3.599957,NT0030079100,28.1,1827,Cairnpapple Hill,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (300300.2548195674 679099.4940234649)
5106,5107,Corstorphine Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Edinburgh,"Hu,1",66,350,162.0,531,NT205741,NT 20581 74150,117.0,NT210725,45.0,rock,ground 340m SSE at NT20700 73834 may be as high,,,S,,08-Jun-09,,"http://www.streetmap.co.uk/newmap.srf?x=320580&y=674156&z=3&sv=320580,674156&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.953832&lon=-3.273475,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5107,320580,674156,55.95383199999999,-3.273475,NT2058074156,28.1,1809,East Cairn Hill,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (320580.0292131472 674155.1096575271)
5107,5108,Bass Rock,,,28A,28A: Firth of Forth to the River Tweed,Forth: River & Firth,Mono Tump island,Z04:Coastal Islands of Scotland,East Lothian,"Hu,1,SIB",67,351E,112.0,367,NT602874,NT 60254 87434,112.0,Sea,0.0,outcrop,outcrop to NE is lower,Abney level,,S,,08-Jun-09,,"http://www.streetmap.co.uk/newmap.srf?x=360254&y=687440&z=3&sv=360254,687440&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=56.078106&lon=-2.640143,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5108,360254,687440,56.078106000000005,-2.640143,NT6025487440,28.1,0,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (360253.8781566451 687439.1985604456)
5454,5455,Meikle Says Law (boundary),,,28A,28A: Firth of Forth to the River Tweed,,,P04:Lammermuir - Dunbar to River Tweed,East Lothian/Scottish Borders,CoH,67,345E,532.0,1745,NT581616,NT 58138 61657,0.0,NT581616,532.0,no feature,,,,S,Berwickshire (CoH),08-Jun-09,On boundary 100m S of trig pillar. Trig pillar is the East Lothian UA & historic county top,"http://www.streetmap.co.uk/newmap.srf?x=358138&y=661662&z=3&sv=358138,661662&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.846337&lon=-2.670123,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=5455,358138,661662,55.846337,-2.670123,NT5813861662,28.1,1813,Meikle Says Law,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (358137.7390603306 661661.6992430956)
7293,7294,Bowbeat Rig Head,,,28A,28A: Firth of Forth to the River Tweed,Moorfoot Hills,,P03:Glasgow to Galashiels and North Berwick,Midlothian/Scottish Borders,s5,73,337,585.0,1919,NT285474,,20.0,NT287471,565.0,,,,,S,,02-Feb-13,,"http://www.streetmap.co.uk/newmap.srf?x=328500&y=647400&z=3&sv=328500,647400&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.714731&lon=-3.139616,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7294,328500,647400,55.71473100000001,-3.139616,NT2850047400,28.1,1802,Blackhope Scar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (328499.9507749297 647399.7984521864)
7295,7296,South Black Hill,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,s5,65 66,344,563.0,1847,NT190605,NT 19068 60504,22.0,NT190606,541.0,wide shallow cairn,,,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=319067&y=660509&z=3&sv=319067,660509&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.831001&lon=-3.293614,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7296,319067,660509,55.831001,-3.293614,NT1906760509,28.1,1807,Scald Law,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (319066.9504428077 660508.8266360296)
7297,7298,West Kip,,,28A,28A: Firth of Forth to the River Tweed,,,P03:Glasgow to Galashiels and North Berwick,Midlothian,"5,DDew",65 66,344,551.0,1808,NT178605,NT 17812 60585,81.0,NT185609,470.0,no feature,,obvious summit,,S,,27-Nov-11,,"http://www.streetmap.co.uk/newmap.srf?x=317811&y=660590&z=3&sv=317811,660590&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/mapper/coverage.php?zoom=10&layers=FTTB00000000000FT&lat=55.831516&lon=-3.313685,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=7298,317811,660590,55.831516,-3.313685,NT1781160590,28.1,1807,Scald Law,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (317810.8793503297 660589.814718699)
